ga_model,pk_len,plaintext,cipher,decrypted_cipher,encrypt_time,decrypt_time
simple,4,9,4193,9,0.0,0.024858713150024414
simple,4,2,7193,2,0.0,0.03343367576599121
simple,4,5,4547,5,0.0,0.02887129783630371
simple,4,2,210,2,0.0,0.025754451751708984
simple,4,5,14136,5,0.0,0.015943527221679688
simple,4,14,24427,14,0.0,0.0316920280456543
simple,4,3,7322,3,0.0,0.03165698051452637
simple,8,164,80525,164,0.0,0.03217792510986328
simple,8,157,164693,157,0.0,0.09444785118103027
simple,8,135,108743,135,0.0,0.03125357627868652
simple,8,105,237852,105,0.0,0.0315098762512207
simple,8,3,115440,3,0.0,0.03738594055175781
simple,8,252,173733,252,0.0,0.042029380798339844
simple,8,202,492333,202,0.0,0.03191328048706055
simple,8,246,468219,246,0.0,0.03428769111633301
simple,8,134,108228,134,0.0,0.028591156005859375
simple,8,159,210713,159,0.0,0.031667232513427734
simple,10,296,1363496,296,0.0,0.12648344039916992
simple,10,376,1653862,376,0.0,0.12129378318786621
simple,10,967,1014830,967,0.0,0.14130759239196777
simple,10,257,133900,257,0.0,0.0315248966217041
simple,10,664,696923,664,0.0,0.33129024505615234
simple,10,426,822910,426,0.0,0.047255516052246094
simple,10,998,374388,998,0.0,0.031261444091796875
simple,10,885,1503457,885,0.0,0.1412651538848877
simple,10,179,573894,179,0.0,0.15799951553344727
simple,10,666,1153826,666,0.0,0.17343521118164062
simple,12,55,3742543,55,0.0,0.16718721389770508
simple,12,1615,6634944,1615,0.0,0.09561610221862793
simple,12,492,7162173,492,0.0,0.12502455711364746
simple,12,3597,3652395,3597,0.0,298.54223465919495
simple,12,2363,2254643,2363,0.0,0.1126699447631836
simple,12,168,2799693,168,0.0,0.1642932891845703
simple,12,2695,8170307,2695,0.0,1.0585331916809082
simple,12,1550,3281048,1550,0.0,355.42593908309937
simple,12,1178,5848527,1178,0.0,0.0640568733215332
simple,12,936,6613599,936,0.0,0.056412458419799805
simple,14,562,8403893,562,0.0,0.27249908447265625
simple,14,9836,6878124,9836,0.0,0.2160792350769043
simple,14,7386,19650525,7386,0.0,0.1600663661956787
simple,14,4560,11567579,4560,0.0,0.33767199516296387
simple,14,10952,34815381,10952,0.0,0.24190759658813477
simple,14,305,27219082,305,0.0,0.08877825736999512
simple,14,4047,31175005,4047,0.0,0.19344806671142578
simple,14,1356,25416619,1356,0.0,0.16046786308288574
simple,14,15616,10785424,15616,0.0,765.433956861496
simple,14,15676,18704298,15676,0.0,0.39310669898986816
simple,16,2694,88584992,2694,0.0,0.1980571746826172
simple,16,5939,145363556,5939,0.0,0.140533447265625
simple,16,54360,64237494,54360,0.0,0.4701423645019531
simple,16,26973,142799765,26973,0.0,0.25158166885375977
simple,16,38125,56640610,38125,0.0,0.19705629348754883
simple,16,59753,126677594,59753,0.0,0.3276808261871338
simple,16,64634,136916599,64634,0.0,0.139512300491333
simple,16,44017,184796815,44017,0.0,0.16753602027893066
simple,16,1397,103521807,1397,0.0,0.8505589962005615
simple,16,18833,57729626,18833,0.0,0.282454252243042
none,6,58,66243,58,0.0,0.0
none,6,48,71492,48,0.0,0.0
none,6,30,42321,30,0.0,0.0
none,6,47,63828,47,0.0,0.0
none,6,21,74091,21,0.0,0.0
none,6,45,32924,45,0.0,0.0
none,6,5,22264,5,0.0,0.0
none,6,35,58987,35,0.0,0.0
none,6,16,26875,16,0.0,0.0
none,6,13,82656,13,0.0,0.0
simple,6,17,28145,17,0.0,0.15698599815368652
simple,6,28,9590,28,0.0,0.03713345527648926
simple,6,30,96568,30,0.0,0.05500316619873047
simple,6,52,33413,52,0.0,0.04600048065185547
simple,6,52,25300,52,0.0,0.033998727798461914
simple,6,1,38430,1,0.0,0.034032583236694336
simple,6,30,10176,30,0.0,0.03299832344055176
simple,6,13,68450,13,0.0,0.03500056266784668
simple,6,18,14398,18,0.0,0.03700399398803711
simple,6,20,24419,20,0.0,0.06499004364013672
